start	end	text
0	4000	Hi, Chris Sauer. Hi, Kate Johnson. Nice to meet you. Nice to meet you, Kate.
4000	7000	Chris, please, tell me a little bit about yourself.
7000	10000	Well, I'm currently finishing my Masters of Education program at Lake Erie College
10000	14000	and working on transitioning from a northeastern Ohio inner
14000	19000	to being a member of the Jacksonville area community.
19000	21000	Why the move?
21000	26000	Well, my wife's job is moving down south and I'm coming along with her.
26000	31000	She's very noble and admirable about you at the same time.
31000	34000	How did you hear about the position open with our company here at REI?
34000	38000	Well, when I thought about the opportunity of changing locations
38000	41000	and moving from one physical location to another,
41000	44000	I thought about making a career move as well.
44000	48000	And I was starting with my main interests and passions.
48000	52000	And I love being outside, I love doing outdoor activities,
52000	54000	and I love working with people.
54000	58000	I thought if I could use my experience as a teacher, helping people,
58000	60000	and my interest in the outdoors together,
60000	63000	that would be a good place to start a new career.
63000	66000	And when I was looking online, I found REI's website
66000	68000	and that there were positions available in the Jacksonville area,
68000	70000	so I thought I would apply.
70000	74000	Great. Well, you say you have an interest in outdoor activities,
74000	77000	so this would be a great company for you to work at.
77000	80000	That being said, what else do you know about our company?
80000	83000	Well, I know you've been around for a long time since the late 1930s,
83000	86000	and what really caught my attention the most was the idea
86000	90000	that it was started by people who had a passion for the outdoors
90000	94000	and found a way to involve others in their experience.
94000	98000	I liked the idea, too, that your company is consistently ranked
98000	102000	among the top 100 companies to work for by Fortune Magazine.
102000	105000	And I thought growing with a company that has that level of success
105000	107000	would be a good place to be.
107000	110000	Great.
110000	113000	Why do you want this particular position here
113000	116000	within our customer service department?
116000	119000	Because I want to start in a position that allows me
119000	123000	to learn everything about the company from the very basic level
123000	125000	of interacting with the customers all the way up
125000	127000	throughout the sales process, the marketing process,
127000	131000	and the production of goods and services.
131000	133000	When I saw the opportunity for customer service,
133000	136000	I thought it aligned very well with the skill set that I have
136000	139000	and also with some skills that I could bring to the company
139000	140000	that might be unique.
140000	142000	Can you tell me a little bit more about these skills
142000	144000	that you would transfer from your previous line of work
144000	146000	to our department here?
146000	149000	Sure. In education, it's all about making the customer
149000	152000	or student feel comfortable and helping them grow.
152000	154000	I feel that within a company like REI,
154000	158000	it's the same philosophy, getting a customer comfortable
158000	161000	with the product and helping them grow as they advance
161000	165000	in whatever sport they happen to be participating in.
165000	169000	Why do you think that our company should hire you specifically
169000	171000	amongst our pool of candidates that are interviewing
171000	173000	for this position?
173000	175000	Sure. I think one skill set that I have
175000	177000	involves my background in education.
177000	180000	Teachers are among the highest stressed professionals
180000	183000	in the workplace, and REI offers a number of products
183000	187000	that help alleviate stress by getting people outdoors.
187000	190000	And teachers also have a lot of downtime in the summers.
190000	192000	My thinking is that once I learn the ropes
192000	194000	and advance within the company, I'll be able to market
194000	197000	the services and products that REI offers,
